Region,Sex,Cause,Rate
HHS Region 06,Female,Alzheimers,30.35
HHS Region 06,Female,Cancer,144.8
HHS Region 06,Female,Cerebrovascular diseases,43.400000000000006
HHS Region 06,Female,Diabetes,22.5
HHS Region 06,Female,Flu and pneumonia,15.450000000000001
HHS Region 06,Female,Heart disease,158.2
HHS Region 06,Female,Lower respiratory,44.95
HHS Region 06,Female,Nephritis,15.5
HHS Region 06,Female,Suicide,5.85
HHS Region 06,Female,Unintentional injuries,33.45
HHS Region 06,Male,Alzheimers,21.6
HHS Region 06,Male,Cancer,212.7
HHS Region 06,Male,Cerebrovascular diseases,43.65
HHS Region 06,Male,Diabetes,29.5
HHS Region 06,Male,Flu and pneumonia,19.85
HHS Region 06,Male,Heart disease,243.14999999999998
HHS Region 06,Male,Lower respiratory,57.65
HHS Region 06,Male,Nephritis,20.45
HHS Region 06,Male,Suicide,23.7
HHS Region 06,Male,Unintentional injuries,65.9
