Region,Sex,Cause,Rate
HHS Region 02,Female,Alzheimers,15.75
HHS Region 02,Female,Cancer,145.45
HHS Region 02,Female,Cerebrovascular diseases,29.700000000000003
HHS Region 02,Female,Diabetes,16.4
HHS Region 02,Female,Flu and pneumonia,14.7
HHS Region 02,Female,Heart disease,157.1
HHS Region 02,Female,Lower respiratory,37.15
HHS Region 02,Female,Nephritis,10.1
HHS Region 02,Female,Suicide,3.65
HHS Region 02,Female,Unintentional injuries,20.2
HHS Region 02,Male,Alzheimers,11.4
HHS Region 02,Male,Cancer,196.2
HHS Region 02,Male,Cerebrovascular diseases,31.049999999999997
HHS Region 02,Male,Diabetes,23.6
HHS Region 02,Male,Flu and pneumonia,21.0
HHS Region 02,Male,Heart disease,237.8
HHS Region 02,Male,Lower respiratory,46.15
HHS Region 02,Male,Nephritis,14.45
HHS Region 02,Male,Suicide,16.45
HHS Region 02,Male,Unintentional injuries,44.650000000000006
