Region,Sex,Cause,Rate
HHS Region 08,Female,Alzheimers,29.6
HHS Region 08,Female,Cancer,127.55
HHS Region 08,Female,Cerebrovascular diseases,36.15
HHS Region 08,Female,Diabetes,16.5
HHS Region 08,Female,Flu and pneumonia,13.1
HHS Region 08,Female,Heart disease,113.25
HHS Region 08,Female,Lower respiratory,38.650000000000006
HHS Region 08,Female,Nephritis,8.4
HHS Region 08,Female,Suicide,8.55
HHS Region 08,Female,Unintentional injuries,35.95
HHS Region 08,Male,Alzheimers,22.45
HHS Region 08,Male,Cancer,170.35
HHS Region 08,Male,Cerebrovascular diseases,34.95
HHS Region 08,Male,Diabetes,23.95
HHS Region 08,Male,Flu and pneumonia,16.700000000000003
HHS Region 08,Male,Heart disease,178.85
HHS Region 08,Male,Lower respiratory,52.5
HHS Region 08,Male,Nephritis,11.850000000000001
HHS Region 08,Male,Suicide,31.7
HHS Region 08,Male,Unintentional injuries,63.15
