Region,Sex,Cause,Rate
HHS Region 09,Female,Alzheimers,28.05
HHS Region 09,Female,Cancer,132.89999999999998
HHS Region 09,Female,Cerebrovascular diseases,35.75
HHS Region 09,Female,Diabetes,17.25
HHS Region 09,Female,Flu and pneumonia,14.15
HHS Region 09,Female,Heart disease,123.1
HHS Region 09,Female,Lower respiratory,38.650000000000006
HHS Region 09,Female,Nephritis,7.25
HHS Region 09,Female,Suicide,7.449999999999999
HHS Region 09,Female,Unintentional injuries,30.7
HHS Region 09,Male,Alzheimers,21.9
HHS Region 09,Male,Cancer,181.39999999999998
HHS Region 09,Male,Cerebrovascular diseases,35.55
HHS Region 09,Male,Diabetes,25.1
HHS Region 09,Male,Flu and pneumonia,18.8
HHS Region 09,Male,Heart disease,200.8
HHS Region 09,Male,Lower respiratory,45.650000000000006
HHS Region 09,Male,Nephritis,10.8
HHS Region 09,Male,Suicide,26.65
HHS Region 09,Male,Unintentional injuries,60.449999999999996
