Region,Sex,Cause,Rate
HHS Region 10,Female,Alzheimers,37.349999999999994
HHS Region 10,Female,Cancer,142.35000000000002
HHS Region 10,Female,Cerebrovascular diseases,37.75
HHS Region 10,Female,Diabetes,18.9
HHS Region 10,Female,Flu and pneumonia,9.65
HHS Region 10,Female,Heart disease,110.15
HHS Region 10,Female,Lower respiratory,41.849999999999994
HHS Region 10,Female,Nephritis,6.300000000000001
HHS Region 10,Female,Suicide,7.8
HHS Region 10,Female,Unintentional injuries,32.8
HHS Region 10,Male,Alzheimers,26.4
HHS Region 10,Male,Cancer,193.85
HHS Region 10,Male,Cerebrovascular diseases,36.95
HHS Region 10,Male,Diabetes,29.0
HHS Region 10,Male,Flu and pneumonia,12.149999999999999
HHS Region 10,Male,Heart disease,185.45
HHS Region 10,Male,Lower respiratory,49.3
HHS Region 10,Male,Nephritis,8.6
HHS Region 10,Male,Suicide,28.1
HHS Region 10,Male,Unintentional injuries,58.0
