Region,Sex,Cause,Rate
HHS Region 03,Female,Alzheimers,23.049999999999997
HHS Region 03,Female,Cancer,151.7
HHS Region 03,Female,Cerebrovascular diseases,39.75
HHS Region 03,Female,Diabetes,20.65
HHS Region 03,Female,Flu and pneumonia,15.200000000000001
HHS Region 03,Female,Heart disease,150.3
HHS Region 03,Female,Lower respiratory,40.4
HHS Region 03,Female,Nephritis,15.0
HHS Region 03,Female,Suicide,5.699999999999999
HHS Region 03,Female,Unintentional injuries,32.05
HHS Region 03,Male,Alzheimers,16.549999999999997
HHS Region 03,Male,Cancer,214.5
HHS Region 03,Male,Cerebrovascular diseases,40.35
HHS Region 03,Male,Diabetes,28.75
HHS Region 03,Male,Flu and pneumonia,20.85
HHS Region 03,Male,Heart disease,232.1
HHS Region 03,Male,Lower respiratory,51.900000000000006
HHS Region 03,Male,Nephritis,20.6
HHS Region 03,Male,Suicide,23.0
HHS Region 03,Male,Unintentional injuries,64.69999999999999
