Region,Sex,Cause,Rate
HHS Region 01,Female,Alzheimers,24.85
HHS Region 01,Female,Cancer,142.5
HHS Region 01,Female,Cerebrovascular diseases,31.05
HHS Region 01,Female,Diabetes,13.55
HHS Region 01,Female,Flu and pneumonia,12.350000000000001
HHS Region 01,Female,Heart disease,119.8
HHS Region 01,Female,Lower respiratory,36.75
HHS Region 01,Female,Nephritis,9.850000000000001
HHS Region 01,Female,Suicide,5.15
HHS Region 01,Female,Unintentional injuries,25.65
HHS Region 01,Male,Alzheimers,17.25
HHS Region 01,Male,Cancer,198.6
HHS Region 01,Male,Cerebrovascular diseases,29.799999999999997
HHS Region 01,Male,Diabetes,21.5
HHS Region 01,Male,Flu and pneumonia,17.05
HHS Region 01,Male,Heart disease,193.64999999999998
HHS Region 01,Male,Lower respiratory,44.2
HHS Region 01,Male,Nephritis,15.55
HHS Region 01,Male,Suicide,20.4
HHS Region 01,Male,Unintentional injuries,53.95
