Region,Status,Cause,Rate
HHS Region 10,Rural,Alzheimers,28.4
HHS Region 10,Rural,Cancer,170.45
HHS Region 10,Rural,Cerebrovascular diseases,38.7
HHS Region 10,Rural,Diabetes,24.950000000000003
HHS Region 10,Rural,Flu and pneumonia,11.6
HHS Region 10,Rural,Heart disease,154.6
HHS Region 10,Rural,Lower respiratory,48.8
HHS Region 10,Rural,Nephritis,7.65
HHS Region 10,Rural,Suicide,20.400000000000002
HHS Region 10,Rural,Unintentional injuries,51.7
HHS Region 10,Urban,Alzheimers,35.349999999999994
HHS Region 10,Urban,Cancer,165.75
HHS Region 10,Urban,Cerebrovascular diseases,36.0
HHS Region 10,Urban,Diabetes,22.95
HHS Region 10,Urban,Flu and pneumonia,10.2
HHS Region 10,Urban,Heart disease,141.0
HHS Region 10,Urban,Lower respiratory,42.349999999999994
HHS Region 10,Urban,Nephritis,7.25
HHS Region 10,Urban,Suicide,15.5
HHS Region 10,Urban,Unintentional injuries,39.099999999999994
