Region,Status,Cause,Rate
HHS Region 04,Rural,Alzheimers,30.25
HHS Region 04,Rural,Cancer,200.7
HHS Region 04,Rural,Cerebrovascular diseases,47.85
HHS Region 04,Rural,Diabetes,28.5
HHS Region 04,Rural,Flu and pneumonia,21.55
HHS Region 04,Rural,Heart disease,226.6
HHS Region 04,Rural,Lower respiratory,60.900000000000006
HHS Region 04,Rural,Nephritis,19.950000000000003
HHS Region 04,Rural,Suicide,15.3
HHS Region 04,Rural,Unintentional injuries,60.199999999999996
HHS Region 04,Urban,Alzheimers,22.05
HHS Region 04,Urban,Cancer,172.3
HHS Region 04,Urban,Cerebrovascular diseases,36.95
HHS Region 04,Urban,Diabetes,21.299999999999997
HHS Region 04,Urban,Flu and pneumonia,13.55
HHS Region 04,Urban,Heart disease,172.5
HHS Region 04,Urban,Lower respiratory,44.2
HHS Region 04,Urban,Nephritis,14.45
HHS Region 04,Urban,Suicide,13.7
HHS Region 04,Urban,Unintentional injuries,42.400000000000006
