Region,Status,Cause,Rate
HHS Region 09,Rural,Alzheimers,21.45
HHS Region 09,Rural,Cancer,161.2
HHS Region 09,Rural,Cerebrovascular diseases,37.05
HHS Region 09,Rural,Diabetes,21.35
HHS Region 09,Rural,Flu and pneumonia,17.0
HHS Region 09,Rural,Heart disease,165.5
HHS Region 09,Rural,Lower respiratory,47.150000000000006
HHS Region 09,Rural,Nephritis,10.5
HHS Region 09,Rural,Suicide,22.549999999999997
HHS Region 09,Rural,Unintentional injuries,60.0
HHS Region 09,Urban,Alzheimers,28.5
HHS Region 09,Urban,Cancer,153.1
HHS Region 09,Urban,Cerebrovascular diseases,34.25
HHS Region 09,Urban,Diabetes,21.0
HHS Region 09,Urban,Flu and pneumonia,15.95
HHS Region 09,Urban,Heart disease,158.4
HHS Region 09,Urban,Lower respiratory,37.150000000000006
HHS Region 09,Urban,Nephritis,7.55
HHS Region 09,Urban,Suicide,11.549999999999999
HHS Region 09,Urban,Unintentional injuries,31.15
