Region,Status,Cause,Rate
HHS Region 08,Rural,Alzheimers,24.75
HHS Region 08,Rural,Cancer,153.14999999999998
HHS Region 08,Rural,Cerebrovascular diseases,37.1
HHS Region 08,Rural,Diabetes,21.35
HHS Region 08,Rural,Flu and pneumonia,16.35
HHS Region 08,Rural,Heart disease,155.5
HHS Region 08,Rural,Lower respiratory,48.150000000000006
HHS Region 08,Rural,Nephritis,9.65
HHS Region 08,Rural,Suicide,21.349999999999998
HHS Region 08,Rural,Unintentional injuries,55.1
HHS Region 08,Urban,Alzheimers,27.299999999999997
HHS Region 08,Urban,Cancer,144.75
HHS Region 08,Urban,Cerebrovascular diseases,34.0
HHS Region 08,Urban,Diabetes,19.1
HHS Region 08,Urban,Flu and pneumonia,13.45
HHS Region 08,Urban,Heart disease,136.6
HHS Region 08,Urban,Lower respiratory,43.0
HHS Region 08,Urban,Nephritis,10.600000000000001
HHS Region 08,Urban,Suicide,18.9
HHS Region 08,Urban,Unintentional injuries,44.0
