Region,Status,Cause,Rate
HHS Region 05,Rural,Alzheimers,25.049999999999997
HHS Region 05,Rural,Cancer,184.6
HHS Region 05,Rural,Cerebrovascular diseases,40.35
HHS Region 05,Rural,Diabetes,24.4
HHS Region 05,Rural,Flu and pneumonia,16.45
HHS Region 05,Rural,Heart disease,184.9
HHS Region 05,Rural,Lower respiratory,52.3
HHS Region 05,Rural,Nephritis,15.35
HHS Region 05,Rural,Suicide,14.25
HHS Region 05,Rural,Unintentional injuries,47.3
HHS Region 05,Urban,Alzheimers,23.0
HHS Region 05,Urban,Cancer,178.60000000000002
HHS Region 05,Urban,Cerebrovascular diseases,37.4
HHS Region 05,Urban,Diabetes,22.6
HHS Region 05,Urban,Flu and pneumonia,15.350000000000001
HHS Region 05,Urban,Heart disease,181.05
HHS Region 05,Urban,Lower respiratory,44.400000000000006
HHS Region 05,Urban,Nephritis,15.7
HHS Region 05,Urban,Suicide,11.850000000000001
HHS Region 05,Urban,Unintentional injuries,38.4
