Region,Status,Cause,Rate
HHS Region 06,Rural,Alzheimers,27.75
HHS Region 06,Rural,Cancer,187.8
HHS Region 06,Rural,Cerebrovascular diseases,46.55
HHS Region 06,Rural,Diabetes,28.95
HHS Region 06,Rural,Flu and pneumonia,20.6
HHS Region 06,Rural,Heart disease,221.04999999999998
HHS Region 06,Rural,Lower respiratory,58.15
HHS Region 06,Rural,Nephritis,19.1
HHS Region 06,Rural,Suicide,16.8
HHS Region 06,Rural,Unintentional injuries,58.55
HHS Region 06,Urban,Alzheimers,24.2
HHS Region 06,Urban,Cancer,169.7
HHS Region 06,Urban,Cerebrovascular diseases,40.5
HHS Region 06,Urban,Diabetes,23.049999999999997
HHS Region 06,Urban,Flu and pneumonia,14.700000000000001
HHS Region 06,Urban,Heart disease,180.3
HHS Region 06,Urban,Lower respiratory,44.45
HHS Region 06,Urban,Nephritis,16.85
HHS Region 06,Urban,Suicide,12.75
HHS Region 06,Urban,Unintentional injuries,40.8
